timestamp,time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,qx,qy,qz,qw,bgx_rad_s,bgy_rad_s,bgz_rad_s,bax_m_s2,bay_m_s2,baz_m_s2,P_px,P_py,P_pz,P_vx,P_vy,P_vz,P_theta_x,P_theta_y,P_theta_z,P_bgx,P_bgy,P_bgz,P_bax,P_bay,P_baz,latest_nis,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,yaw_unwrapped_deg
1786181239.059500933,5.003893137,-0.00980361423221,-0.0182707365793,-0.00458953183521,0,0,0,0.0048181977039,-0.00353097911704,-0.00160933473748,-0.999980863416,0.000595577047441,0.00245645754432,0.0166103448277,-0.0284928063427,0.062259342759,-0.0565803716987,0.0004,0.0004,0.0004,0.0025,0.0025,0.0025,7.61543549467e-05,7.61543549467e-05,7.61543549467e-05,1e-06,1e-06,1e-06,0.01,0.01,0.01,nan,-0.00962523562331,0.00707739036182,0.00318466711153,-0.551485378034,0.405504597699,0.182467984645,0.182467984645
1786181239.065650225,5.010042429,-0.00893671059404,-0.0168693389926,-0.00599477126407,0.000333610810355,3.76002458736e-05,-0.000153820787619,0.00461828999128,-0.00367187422942,-0.00149713073894,-0.999981473497,0.000595545573227,0.0024564347358,0.0166103624882,-0.0284932223653,0.0622586754682,-0.0565797170992,1.2484233255e-06,1.51842636179e-06,1.20063917082e-06,0.00249995325809,0.0024999538147,0.00249995293821,1.12181264971e-07,6.8639023118e-08,8.79173304959e-08,1.00000011912e-06,1.00000011884e-06,1.00000011896e-06,0.00999999997243,0.00999999997249,0.00999999997241,0.0154315337521,-0.00922579488986,0.00735750715304,0.00296037489509,-0.528599109842,0.421554107607,0.169616987265,0.169616987265
1786181239.069609880,5.014002084,-0.00892320589377,-0.0168544298969,-0.00599680937005,0.00126681432224,0.000136754489724,-0.000266114916154,0.00461124797757,-0.00366983417154,-0.00149300518158,-0.999981519652,0.000595527874504,0.00245641584479,0.0166103627008,-0.0284958618977,0.0622556271368,-0.0565794461881,6.34958679452e-07,7.70482129369e-07,6.10982545921e-07,0.00246173901438,0.00246852360893,0.00246022533368,5.61896195725e-08,3.43925503643e-08,4.40416675333e-08,9.99930433832e-07,9.99886225093e-07,9.99911191082e-07,0.0099999590837,0.00999996625268,0.00999995748524,0.000454952344485,-0.00921174668011,0.0073533682061,0.00295219425321,-0.527794206714,0.421316963415,0.169148271012,0.169148271012
1786181239.075503111,5.019895315,-0.00890016195715,-0.0168352165,-0.00599754866562,0.00222299110641,0.000427921779519,-0.0002889871231,0.00459800318005,-0.00366222617459,-0.00148315964131,-0.999981623183,0.00059552758616,0.00245623815115,0.0166105692903,-0.0285122070773,0.0622367926102,-0.0565809253058,4.79990938906e-07,5.71487636888e-07,4.63763531241e-07,0.0022776993756,0.00231458937384,0.00226960279212,3.76235856219e-08,2.30860995243e-08,2.95212584264e-08,9.99563714913e-07,9.99287804421e-07,9.99443541146e-07,0.009999541538,0.00999961714765,0.00999952494588,0.00180621588251,-0.00918535049172,0.00733802274896,0.00293267007634,-0.526281816524,0.420437733486,0.168029618079,0.168029618079
1786181239.079721451,5.024113655,-0.00887763161248,-0.0168162596261,-0.00599745092389,0.00265095554327,0.000804734857662,-0.000204526020085,0.00458620983198,-0.0036533460588,-0.00147396457424,-0.999981723418,0.000595492390203,0.00245605814238,0.0166107750514,-0.0285397042548,0.0622049973762,-0.0565840397721,4.15403798807e-07,4.86890801455e-07,4.02625403278e-07,0.00203046943548,0.00210109107932,0.00201530808789,2.83476625794e-08,1.7441833924e-08,2.22693529774e-08,9.98969126456e-07,9.98319892447e-07,9.98686120438e-07,0.00999865436571,0.00999885650465,0.00999861093621,0.00228504292905,-0.00916185585359,0.0073201437721,0.00291444745723,-0.524935672918,0.41941334357,0.166985538912,0.166985538912
1786181239.085503817,5.029896021,-0.00884673321376,-0.0167901316904,-0.00599665940204,0.00268317339325,0.00155912939534,5.01365711407e-05,0.00456395058201,-0.00364585859882,-0.00147508535422,-0.999981850932,0.000595504708188,0.00245563051955,0.0166113809624,-0.0285951812775,0.0621429727501,-0.0565895342569,4.28006713177e-07,4.9357345297e-07,4.16065123575e-07,0.00167260056527,0.00177784059834,0.00165073060385,2.29085975217e-08,1.41814293052e-08,1.80446770455e-08,9.97800336889e-07,9.96422614428e-07,9.97199066526e-07,0.00999643716078,0.00999689639649,0.00999634128976,0.00370976014948,-0.00911734917805,0.00730511426545,0.00291692009486,-0.522385628249,0.418552216271,0.167127210612,0.167127210612
1786181239.089761496,5.0341537,-0.00882127281218,-0.0167640446208,-0.00599495542803,0.00237126721315,0.00238084391138,0.000338649913212,0.0045429866697,-0.00364382993547,-0.00148604996994,-0.999981937552,0.000595509308854,0.0024551375528,0.0166120512848,-0.0286570777006,0.0620748262699,-0.0565943571356,4.0799468976e-07,4.71123509512e-07,3.96387626605e-07,0.00135492863252,0.00147571415949,0.0013305563381,1.92597840806e-08,1.19845697088e-08,1.52052904417e-08,9.96255462382e-07,9.9392625307e-07,9.9523743575e-07,0.00999353174034,0.0099942393221,0.00999338746461,0.00340248641194,-0.00907534585512,0.00730109531356,0.00293902107922,-0.51997901512,0.41832194729,0.168393503739,0.168393503739
1786181239.095498085,5.039890289,-0.00879208068802,-0.0167297454795,-0.00599151295219,0.00270017536708,0.00322695861924,0.000456197554881,0.00451940575309,-0.00363936613767,-0.00150555028095,-0.999982031491,0.000595699023937,0.00245480899174,0.0166130751372,-0.0287337953264,0.0619869715676,-0.0566018951253,4.24067961744e-07,4.91377277375e-07,4.11621068548e-07,0.00104801589946,0.00116925992337,0.0010242515627,1.67908191345e-08,1.05506188336e-08,1.33135932194e-08,9.93881834464e-07,9.90109702391e-07,9.92230005226e-07,0.00998882162434,0.00998984697005,0.0099886156451,0.00341122146613,-0.00902805327326,0.00729227450293,0.00297823450187,-0.517269349777,0.417816552069,0.170640267358,0.170640267358
1786181239.099978209,5.044370413,-0.00876603327314,-0.016698205591,-0.00598858873437,0.00370178835106,0.00387822031919,0.000343350934997,0.00450454309367,-0.00363479985883,-0.00152436199364,-0.999982086661,0.000595859951094,0.00245412957815,0.0166141162923,-0.0288018101607,0.0619034791567,-0.0566098307796,4.00463366447e-07,4.6788423336e-07,3.88045705803e-07,0.000816976700523,0.000928409715787,0.000795615515504,1.49078258711e-08,9.44236973377e-09,1.186289099e-08,9.90942284528e-07,9.85416763614e-07,9.88517154006e-07,0.00998346019714,0.009984769178,0.00998319810981,0.00264724541993,-0.00899820338474,0.00728326699461,0.00301600771473,-0.515559077146,0.417300459858,0.172804513033,0.172804513033
1786181239.105498552,5.049890756,-0.00873299493653,-0.016661331914,-0.005986001892,0.00489676439522,0.00431724443429,0.000129716797337,0.00449064284348,-0.00363056451783,-0.00153725302983,-0.999982144831,0.000596006100938,0.00245319919978,0.0166157590576,-0.0288661978045,0.0618135702549,-0.0566201248197,3.96960115061e-07,4.67018560505e-07,3.8411876741e-07,0.00063070715997,0.00072746873842,0.000612493449726,1.35622632341e-08,8.69573049009e-09,1.08519421442e-08,9.87017259364e-07,9.79198446612e-07,9.83576267349e-07,0.00997617453601,0.00997788013773,0.0099758295284,0.00244874263953,-0.00897032080066,0.00727487006431,0.00304192921268,-0.513961522756,0.416819351191,0.174289705464,0.174289705464
